item,itemLabel
http://www.wikidata.org/entity/Q82004,Bobby Brown
http://www.wikidata.org/entity/Q82118,Jason Campbell
http://www.wikidata.org/entity/Q82222,Little Richard
http://www.wikidata.org/entity/Q83554,Dwight Buycks
http://www.wikidata.org/entity/Q83714,Pete La Roca
http://www.wikidata.org/entity/Q93341,Miles Davis
http://www.wikidata.org/entity/Q93349,Bessie Smith
http://www.wikidata.org/entity/Q93843,Derrick Brooks
http://www.wikidata.org/entity/Q97291,Kenneth Lee Spencer
http://www.wikidata.org/entity/Q100743,Dennis James
http://www.wikidata.org/entity/Q102301,Joe Frazier
http://www.wikidata.org/entity/Q102870,Harriet Tubman
http://www.wikidata.org/entity/Q103767,Charlie Parker
http://www.wikidata.org/entity/Q104049,Sidney Poitier
http://www.wikidata.org/entity/Q104358,Billie Holiday
http://www.wikidata.org/entity/Q105180,Sojourner Truth
http://www.wikidata.org/entity/Q105875,Herbie Hancock
http://www.wikidata.org/entity/Q107008,Count Basie
http://www.wikidata.org/entity/Q107432,Charles Mingus Jr.
http://www.wikidata.org/entity/Q109053,Art Tatum
http://www.wikidata.org/entity/Q109612,Thelonious Monk
http://www.wikidata.org/entity/Q109842,Carol Campbell
http://www.wikidata.org/entity/Q110477,Cannonball Adderley
http://www.wikidata.org/entity/Q110714,Lester Young
http://www.wikidata.org/entity/Q111536,William Julius Wilson
http://www.wikidata.org/entity/Q112307,Lena Horne
http://www.wikidata.org/entity/Q112449,Stacey King
http://www.wikidata.org/entity/Q112847,Alana Beard
http://www.wikidata.org/entity/Q115894,Arvell Jones
http://www.wikidata.org/entity/Q116254,DeJuan Blair
http://www.wikidata.org/entity/Q116699,Deron Washington
http://www.wikidata.org/entity/Q117139,Wiz Khalifa
http://www.wikidata.org/entity/Q117741,Andy Razaf
http://www.wikidata.org/entity/Q118116,Dexter Gordon
http://www.wikidata.org/entity/Q121507,Alicia Keys
http://www.wikidata.org/entity/Q121647,Paul Pierce
http://www.wikidata.org/entity/Q123105,Tavoris Cloud
http://www.wikidata.org/entity/Q125121,Aretha Franklin
http://www.wikidata.org/entity/Q125653,Sargent Claude Johnson
http://www.wikidata.org/entity/Q126677,Mary Lou Williams
http://www.wikidata.org/entity/Q126710,Warren Moon